Col1: Sensor [V]	Col2: Absolute time (Y:M:D - H:M:S)	Col3: Absolute time (epoch) [sec]
00.7541122179	2020 Jul 13 - 10:37:24	001594629444.397
00.0121878132	2020 Jul 13 - 10:37:25	001594629445.415
00.4792894802	2020 Jul 13 - 10:37:26	001594629446.439
-0.0226074879	2020 Jul 13 - 10:37:27	001594629447.455
00.5111093507	2020 Jul 13 - 10:37:28	001594629448.477
00.0166359581	2020 Jul 13 - 10:37:29	001594629449.489
-0.3739697252	2020 Jul 13 - 10:37:30	001594629450.500
-0.3406734927	2020 Jul 13 - 10:37:31	001594629451.518
-0.9399719742	2020 Jul 13 - 10:37:32	001594629452.541
-0.2053115186	2020 Jul 13 - 10:37:33	001594629453.551
-0.3219850623	2020 Jul 13 - 10:37:34	001594629454.562
-0.8957852295	2020 Jul 13 - 10:37:35	001594629455.578
00.3507997960	2020 Jul 13 - 10:37:36	001594629456.596
-0.9134970782	2020 Jul 13 - 10:37:37	001594629457.613
-0.3740030049	2020 Jul 13 - 10:37:38	001594629458.627
00.0589673539	2020 Jul 13 - 10:37:39	001594629459.643
00.9586695164	2020 Jul 13 - 10:37:40	001594629460.654
00.5034328140	2020 Jul 13 - 10:37:41	001594629461.692
00.7111353520	2020 Jul 13 - 10:37:42	001594629462.704
-0.7212276942	2020 Jul 13 - 10:37:43	001594629463.726
00.9861436670	2020 Jul 13 - 10:37:44	001594629464.745
00.7683356698	2020 Jul 13 - 10:37:45	001594629465.762
00.7382899388	2020 Jul 13 - 10:37:46	001594629466.780
00.0850930812	2020 Jul 13 - 10:37:47	001594629467.799
00.0209074428	2020 Jul 13 - 10:37:48	001594629468.820
00.9547935322	2020 Jul 13 - 10:37:49	001594629469.837
00.0335140904	2020 Jul 13 - 10:37:50	001594629470.848
00.4615114528	2020 Jul 13 - 10:37:51	001594629471.865
00.9598497843	2020 Jul 13 - 10:37:52	001594629472.883
00.8510717126	2020 Jul 13 - 10:37:53	001594629473.900
00.4553855632	2020 Jul 13 - 10:37:54	001594629474.911
00.2536615409	2020 Jul 13 - 10:37:55	001594629475.941
00.3333178248	2020 Jul 13 - 10:37:56	001594629476.970
